,v,v_err,i,i_err,vi,vi_err,x,y
1,20.956,0.008,20.487,0.024,0.47281858995561044,0.0253,2586.948,946.917
8,18.072,0.0045,17.449,0.0051,0.6245074843647086,0.0068,2728.046,887.192
11,20.449,0.004,20.02,0.0048,0.43281858995561046,0.0063,2775.461,839.458
12,20.773,0.0046,20.262,0.0054,0.5158215267092898,0.0071,2830.032,799.501
16,21.252,0.0058,20.784,0.0069,0.47282152670928984,0.009,2902.116,762.7
17,20.358,0.0038,19.947,0.024,0.4139867547808077,0.0243,2935.32,824.505
18,20.455,0.009,20.04,0.0049,0.41524554969459415,0.0102,2962.709,890.687
19,19.969,0.004,19.546,0.015,0.4225031911236736,0.0155,3006.908,984.264
21,19.078,0.014,18.511,0.014,0.5672455496945942,0.0198,3046.31,815.84
22,20.002,0.118,19.595,0.143,0.40837753461038206,0.1854,3056.356,857.477
28,20.246,0.007,19.816,0.012,0.4308252951837758,0.0139,3197.192,922.442
33,21.362,0.015,20.869,0.018,0.49470723915655124,0.0234,3353.918,873.293
39,20.632,0.004,20.189,0.006,0.4464154240604822,0.0072,3416.197,807.02
40,20.565,0.015,20.131,0.01,0.4369904347051288,0.018,3431.089,828.886
44,20.925,0.006,20.476,0.013,0.45173354135361465,0.0143,3511.632,784.566
49,20.61,0.015,20.187,0.011,0.42502583312535236,0.0186,3516.424,905.704
56,19.538,0.008,19.094,0.012,0.4460846725933355,0.0144,3595.353,859.546
61,20.231,0.01,19.819,0.01,0.4142479420054216,0.0141,3649.713,983.704
62,20.25,0.0036,19.818,0.0043,0.4340002706447187,0.0056,3687.912,512.251
63,21.102,0.013,20.649,0.041,0.45635890663193523,0.043,3706.442,682.068
64,18.646,0.01,18.041,0.013,0.6062217680212454,0.0164,3710.425,743.357
66,21.052,0.028,20.571,0.007,0.4815393382077684,0.0289,3720.667,590.947
68,20.928,0.015,20.464,0.013,0.46735890663193524,0.0198,3727.422,701.086
69,20.599,0.04,20.186,0.008,0.41422176802124544,0.0408,3725.366,760.712
72,21.032,0.016,20.565,0.014,0.4672586235690287,0.0213,3756.627,756.146
73,20.45,0.01,20.019,0.019,0.43047060738434667,0.0215,3743.155,821.679
74,20.278,0.01,19.86,0.016,0.41825862356902865,0.0189,3770.452,760.787
75,20.854,0.011,20.388,0.011,0.4662586235690287,0.0156,3792.518,650.503
79,20.559,0.011,20.109,0.028,0.4506563639584501,0.0301,3813.951,656.599
80,20.451,0.011,20.023,0.011,0.4282453635826601,0.0156,3865.698,845.174
84,21.278,0.0057,20.782,0.01,0.49656382031181706,0.0115,3940.936,681.261
85,20.985,0.018,20.518,0.001,0.4676244406937895,0.018,3983.291,638.413
86,17.692,0.0037,17.056,0.0041,0.6366896579300039,0.0055,3978.129,675.73
89,21.213,0.028,20.731,0.023,0.4825393382077684,0.0362,3981.607,943.021
97,19.475,0.013,19.013,0.013,0.4626244406937895,0.0184,4075.032,622.755
100,20.212,0.009,19.795,0.01,0.4180676769263204,0.0135,4066.7,878.128
101,19.726,0.013,19.301,0.007,0.4264601576257583,0.0148,4076.225,931.683
104,21.009,0.019,20.544,0.025,0.4655962165032668,0.0314,4197.667,448.778
106,21.3,0.025,20.799,0.01,0.5015962165032668,0.0269,4220.731,584.762
108,20.904,0.004,20.433,0.036,0.4721295877715882,0.0362,4259.398,462.793
109,20.642,0.01,20.209,0.025,0.4335962165032668,0.0269,4244.354,568.649
115,20.707,0.01,20.25,0.007,0.45761156895342664,0.0122,4275.483,940.157
120,21.027,0.014,20.573,0.012,0.4544239779155694,0.0184,4360.353,962.709
123,19.953,0.0031,19.514,0.0037,0.44012958777158817,0.0048,4409.541,434.014
125,20.419,0.0038,19.963,0.0046,0.4571440424416441,0.006,4421.277,493.312
127,20.78,0.023,20.342,0.018,0.43914404244164407,0.0292,4454.239,578.953
131,20.273,0.02,19.877,0.019,0.3971440424416441,0.0276,4523.434,600.889
133,20.231,0.0035,19.837,0.0043,0.3951440424416441,0.0056,4544.419,460.749
137,20.798,0.0045,20.339,0.012,0.46357621191667936,0.0128,4573.967,841.49
138,21.002,0.041,20.5,0.004,0.505187097397773,0.0412,4573.185,891.715
140,20.61,0.007,20.187,0.026,0.42618709739777305,0.0269,4606.675,690.71
144,21.396,0.013,20.917,0.02,0.48413569053495054,0.0239,4654.999,819.427
145,18.536,0.0016,17.941,0.0018,0.5995762119166793,0.0024,4668.171,796.121
147,20.835,0.0046,20.418,0.0056,0.4215762119166793,0.0073,4704.674,942.089
148,20.362,0.0037,19.943,0.0045,0.4244305760491499,0.0058,4746.462,873.818
152,20.959,0.0051,20.482,0.0061,0.465170463901151,0.008,462.089,1735.751
153,21.315,0.006,20.787,0.007,0.5161704639011511,0.0093,460.065,1749.878
155,20.7,0.0046,20.249,0.0055,0.43917046390115105,0.0071,495.243,1550.143
156,19.256,0.0023,18.726,0.0027,0.5181704639011511,0.0036,497.975,1565.519
160,21.223,0.006,20.72,0.0068,0.4915894669442074,0.0091,615.404,1877.617
162,20.841,0.014,20.376,0.015,0.4530868506114225,0.0205,620.57,1963.739
165,20.386,0.0,19.944,0.011,0.4325488591375294,0.011,685.186,1683.988
166,21.064,0.005,20.59,0.008,0.4625894669442074,0.0094,674.31,1923.372
167,20.641,0.009,20.199,0.003,0.4302426629667486,0.0095,704.869,1752.269
169,20.501,0.007,20.063,0.006,0.42819893196314,0.0092,691.236,1798.809
171,19.192,0.001,18.641,0.006,0.5420031842987143,0.0061,737.153,1705.645
175,20.624,0.008,20.162,0.009,0.4515609752827888,0.012,757.189,1928.847
179,19.422,0.003,18.951,0.002,0.4616228879325783,0.0036,838.569,1802.827
180,21.279,0.007,20.791,0.006,0.4794182191976464,0.0092,884.341,1761.183
181,20.167,0.005,19.734,0.015,0.4218454481357146,0.0158,885.377,1959.551
189,19.727,0.0029,19.28,0.0035,0.43603367043214225,0.0045,985.446,1413.495
191,20.533,0.002,20.09,0.007,0.4318560028021827,0.0073,986.971,1762.197
192,20.049,0.003,19.626,0.002,0.41316386972147123,0.0036,1006.783,1538.02
195,19.612,0.006,19.163,0.011,0.44112420378583783,0.0125,1027.961,1672.47
196,20.412,0.012,19.977,0.008,0.4271242037858378,0.0144,1030.759,1671.229
203,21.183,0.0057,20.698,0.0067,0.47413543850123196,0.0088,1082.018,1393.627
204,20.826,0.011,20.363,0.004,0.45257688744865227,0.0117,1078.435,1539.797
207,20.854,0.008,20.394,0.013,0.4502420041070896,0.0153,1097.987,1876.743
209,21.293,0.006,20.795,0.007,0.48757688744865224,0.0092,1157.312,1374.651
212,20.897,0.015,20.445,0.002,0.44157688744865226,0.0151,1164.723,1427.772
213,20.276,0.004,19.839,0.003,0.42716386972147125,0.005,1183.994,1631.857
215,18.196,0.0048,17.536,0.0053,0.6506228879325784,0.0072,1180.127,1736.138
221,19.883,0.004,19.454,0.007,0.4193681565553484,0.0081,1269.527,1715.842
223,20.419,0.015,19.974,0.004,0.43516386972147125,0.0155,1315.038,1374.204
225,20.356,0.001,19.918,0.006,0.42780877732334704,0.0061,1323.925,1589.857
226,18.909,0.006,18.315,0.003,0.5836674028629805,0.0067,1334.614,1702.333
229,19.742,0.004,19.31,0.006,0.4220224952611047,0.0072,1349.168,1755.498
231,20.3,0.002,19.867,0.013,0.42280877732334704,0.0132,1364.985,1419.161
232,20.53,0.004,20.076,0.002,0.44416386972147126,0.0045,1363.026,1530.76
236,20.5,0.004,20.063,0.01,0.42703751029133324,0.0108,1399.784,1788.652
240,21.375,0.006,20.872,0.001,0.49427025303822747,0.0061,1468.001,1604.627
242,21.429,0.009,20.91,0.005,0.5117260384414678,0.0103,1495.052,1721.584
244,19.029,0.004,18.451,0.011,0.5698387962827246,0.0117,1523.232,1537.757
245,20.906,0.009,20.441,0.004,0.4574148876893613,0.0098,1536.399,1579.443
247,21.159,0.005,20.683,0.011,0.46841488768936124,0.0121,1561.521,1868.967
248,19.564,0.004,19.119,0.009,0.43492537688935834,0.0098,1573.294,1286.677
249,19.259,0.004,18.727,0.003,0.5228260114798154,0.005,1566.45,1427.422
250,20.891,0.014,20.424,0.013,0.4596161768576849,0.0191,1570.494,1611.06
252,20.449,0.006,20.012,0.005,0.42985815026194485,0.0078,1583.426,1735.301
254,20.14,0.006,19.723,0.004,0.40883879628272457,0.0072,1605.786,1483.737
255,20.351,0.006,19.924,0.007,0.41985815026194484,0.0092,1592.686,1693.338
257,20.569,0.01,20.121,0.008,0.44081070531860467,0.0128,1601.857,1806.519
258,20.961,0.013,20.488,0.006,0.46541488768936123,0.0143,1611.971,1858.635
259,20.699,0.012,20.244,0.013,0.4474148876893613,0.0177,1589.221,1956.637
261,20.668,0.012,20.215,0.013,0.4456725467447886,0.0177,1615.958,1863.764
262,21.192,0.008,20.709,0.003,0.47541488768936124,0.0085,1627.282,1867.344
263,19.875,0.0031,19.439,0.0037,0.4274581615600067,0.0049,1638.129,1180.502
266,20.929,0.009,20.462,0.008,0.45967254674478863,0.012,1660.518,1834.109
267,20.747,0.012,20.301,0.012,0.4386725467447886,0.017,1649.444,1940.786
273,20.27,0.01,19.839,0.002,0.4235801366472745,0.0102,1703.167,1327.099
274,19.72,0.008,19.283,0.009,0.4297831022653071,0.012,1696.395,1353.8
276,19.379,0.007,18.887,0.006,0.4858378100157972,0.0092,1697.51,1675.862
281,20.581,0.003,20.143,0.005,0.4315111096478812,0.0058,1730.347,1731.078
282,20.022,0.005,19.597,0.003,0.4167927564927379,0.0058,1737.192,1867.866
283,20.806,0.01,20.346,0.003,0.45103390293429085,0.0104,1716.783,1923.525
